variable,station_type,month,depth_bin_low,depth_bin_high,n,median,p01,p99,mean,std,min,max
conductivity,deep_cast,1,0,10,13562,5.129932213885175,4.496935176089479,5.597229035372936,5.112707216412768,0.2769454420013688,4.38119223318929,5.620067690024175
conductivity,deep_cast,1,10,20,15258,5.165020854655699,4.513985655074187,5.60032933184432,5.13601787300526,0.25448648724804857,4.404749197431119,5.6203859763042825
conductivity,deep_cast,1,20,30,10801,5.220364192684032,4.728240701187371,5.600716970045872,5.214536427290373,0.1974522051806588,4.618006846688944,5.620257667328479
conductivity,deep_cast,1,30,40,5336,5.243394169676019,4.875168135129871,5.6008109672733575,5.255443158889142,0.15789765843909082,4.7850074215521,5.601498154179398
conductivity,deep_cast,1,40,50,3096,5.2267909296996296,4.971613925388299,5.5268707707370055,5.261585368508041,0.12129003649214333,4.970954262010313,5.595120144485714
conductivity,deep_cast,1,50,60,2509,5.243203878762354,5.03219541656487,5.55348893240119,5.271371596369908,0.11763104025124776,5.012432083219567,5.562145803965802
conductivity,deep_cast,1,60,70,2243,5.240109039426893,4.745533566569684,5.551389999892486,5.249600887538602,0.1545900844157328,4.5977637658225055,5.553526870806808
conductivity,deep_cast,1,70,80,2020,5.229795733349082,4.417115076654502,5.433527525892114,5.200766752049981,0.2106768437614408,4.402924875715852,5.4358616964949915
conductivity,deep_cast,1,80,90,2000,5.180099130342002,4.170409707050085,5.404422028723638,5.124440419143317,0.27828802426416227,4.110552647310295,5.4056657870691955
conductivity,deep_cast,1,90,100,2000,5.106822785162501,4.051624177374082,5.374470709062603,5.017010331487487,0.3368266475957959,4.0338459567558385,5.395815588832282
conductivity,deep_cast,1,100,110,1997,4.970063082045274,3.9694066991704733,5.360835169688035,4.855196234831808,0.39495237511699216,3.9687421862450756,5.362454137708067
conductivity,deep_cast,1,110,120,1946,4.808711128432433,3.8665166810824227,5.319506137500269,4.699672145322682,0.41929474845179465,3.8650571758428853,5.340333593289271
conductivity,deep_cast,1,120,130,1270,4.694896578743988,3.854715617554232,5.068738886875136,4.605845476139747,0.37603858962843284,3.8528377912105922,5.079178773952198
conductivity,deep_cast,1,130,140,832,4.688921792709332,3.8517225112831537,4.964475163393998,4.567298860218937,0.31594576410862074,3.8503288205057595,4.981212795623165
conductivity,deep_cast,1,140,150,565,4.68630042053925,4.1222517046874705,4.891811289160695,4.614948378161858,0.22762206659327486,4.110413251884449,4.906866734095293
conductivity,deep_cast,1,150,160,400,4.59396123082654,4.29186191484496,4.8151245918885754,4.575650845800787,0.1569632229704523,4.287939554198226,4.8227298515714585
conductivity,deep_cast,1,160,170,400,4.539863593450173,4.2267143725049525,4.723074797719968,4.499700146477932,0.1600942313787004,4.222946920484227,4.7260982428341505
conductivity,deep_cast,1,170,180,400,4.439946331905272,4.152617816048972,4.652597449249247,4.416380990045693,0.16125240224044385,4.147748301491322,4.656989906984542
conductivity,deep_cast,1,180,190,400,4.335450315114231,4.074513715819192,4.59725077896408,4.3386548650655685,0.1615069989550368,4.070716946861257,4.599790872074978
conductivity,deep_cast,1,190,200,300,4.2545425519711655,4.006637988298712,4.519146590685619,4.26214735217687,0.18257923012378485,4.0042679686241485,4.5195962757441475
conductivity,deep_cast,1,200,210,300,4.1551500481074175,3.9497049412909098,4.452387986580223,4.184823951391329,0.1798632071772349,3.949502238522986,4.4570749781600485
conductivity,deep_cast,1,210,220,300,4.134080085619688,3.897145237233941,4.375956217882552,4.135213779845421,0.1766010537234351,3.8954961904235477,4.377763487485717
conductivity,deep_cast,1,220,230,300,4.090848831024707,3.85854723788528,4.324495933084393,4.085596081573758,0.17258308986779808,3.858312071762118,4.325757671486047
conductivity,deep_cast,1,230,240,300,4.0617706040454635,3.8253326415428077,4.264062949282727,4.051682131977979,0.1671295340909136,3.8249501846394405,4.273688753021103
conductivity,deep_cast,1,240,250,300,4.054086744456759,3.8000431308015234,4.237866286082311,4.029001734385729,0.16922239682294501,3.7993437108710184,4.246593682996497
conductivity,deep_cast,1,250,260,299,4.015385035672589,3.781707654790557,4.20723250586995,4.002371415155492,0.16858013630164756,3.7816280720026763,4.208149460062289
conductivity,deep_cast,1,260,270,300,4.000118613475826,3.7765293641308646,4.19314370405521,3.982184019217643,0.1588466359027304,3.7762599013703806,4.194848878608402
conductivity,deep_cast,1,270,280,300,3.985975104845375,3.7661981631852557,4.135444198161842,3.9577134410814367,0.14286128894781266,3.7653396181861627,4.1371030196830905
conductivity,deep_cast,1,280,290,276,3.9712172221977253,3.758052033577391,4.0917120347482525,3.9529131041497756,0.12713594031887926,3.7580215205593133,4.092686408223345
conductivity,deep_cast,1,290,300,200,3.999795650776774,3.9482394464767365,4.070749679970119,4.005783046158814,0.05625689419699699,3.9480496568661962,4.0722274660218325
conductivity,deep_cast,1,300,310,200,3.979677976709499,3.945977130749766,4.045704770743601,3.986854309721593,0.03919026934457789,3.944610091576492,4.0462071503061505
conductivity,deep_cast,1,310,320,123,4.006185446061492,3.9427062149798653,4.009282794793225,3.9946505255730034,0.02375213528439153,3.9420640671569602,4.009646895529319
conductivity,deep_cast,1,320,330,99,3.991857067791696,3.9770632370280796,4.004110148703712,3.991816333225173,0.0075065880286256095,3.9760777216008494,4.005390683999794
conductivity,deep_cast,1,330,340,99,3.9559084711457357,3.942585440970739,3.980713554139335,3.957407225768619,0.012928602677869041,3.9425226446037294,3.9815425838301826
conductivity,deep_cast,1,340,350,100,3.940175577553357,3.930097912215682,3.9429799562325223,3.9395314353713324,0.0029859428809985654,3.929155505144131,3.9430521275076766
conductivity,deep_cast,1,350,360,100,3.914828966585882,3.8969952000133086,3.935019469672926,3.913979516938831,0.011627786524482424,3.8969035191831813,3.935340974379103
conductivity,deep_cast,1,360,370,100,3.886773342505256,3.8655045180509218,3.8968730118167074,3.8843590225586713,0.010810928094052132,3.8652576170231803,3.899803419320172
conductivity,deep_cast,1,370,380,100,3.861774210214124,3.8537026557722367,3.8745281167337877,3.8606666219441563,0.005335271853376714,3.853434218173284,3.8807317518313638
conductivity,deep_cast,1,380,390,98,3.8523329166885745,3.841969129376314,3.858056668155401,3.850925201289905,0.0036467633894458843,3.841886532562012,3.8587228261894775
conductivity,deep_cast,1,390,400,99,3.8379871995856307,3.8318259834422106,3.8491058111340615,3.837922495651073,0.0036297354971745787,3.8317369965975274,3.8504031977668083
conductivity,deep_cast,1,400,410,100,3.830829750228575,3.8299205686253965,3.83355301790322,3.8310561402722594,0.0009553399295006636,3.829884628056364,3.8335628074166
conductivity,deep_cast,1,410,420,98,3.822729919890748,3.81063074458712,3.831003575342002,3.821552972197009,0.006195412316091441,3.810615325499857,3.8310843292856833
conductivity,deep_cast,1,420,430,100,3.8026182344618076,3.8000744502069796,3.8106321962432697,3.8042736343791823,0.003336675366074271,3.7999496966312534,3.811011626419342
conductivity,deep_cast,1,430,440,100,3.792705254482543,3.7867474202249456,3.8018373084244086,3.7928384666984454,0.004485890221259404,3.786720138522619,3.8023550548938103
conductivity,deep_cast,1,440,450,100,3.770216213913036,3.763169890341806,3.7866240473670016,3.771783949970146,0.006375900065832856,3.7629743088224537,3.7866716513341157
conductivity,deep_cast,1,450,460,100,3.747400557427474,3.741791045621967,3.7641712703731947,3.750418516369893,0.007495929874553905,3.7417560632731455,3.764481206478435
conductivity,deep_cast,1,460,470,100,3.7394614226064653,3.7349401614759317,3.7443817556590075,3.739353016178015,0.0026302141112264175,3.734833233104042,3.7443818675961653
conductivity,deep_cast,1,470,480,100,3.7291505907659475,3.722092948674341,3.7345638570951833,3.729043644599707,0.0035292690728891403,3.7219228457945586,3.7346886753450947
conductivity,deep_cast,1,480,490,100,3.7153961798747255,3.702551498046838,3.726155587910221,3.7142558363218563,0.006693493430640013,3.702155746960716,3.7289803618589072
conductivity,deep_cast,1,490,500,100,3.68724886589446,3.6727624050888017,3.701868104406746,3.6884369041551333,0.009740169500244486,3.6725848258344067,3.702907803739312
conductivity,deep_cast,1,500,510,100,3.67081304514889,3.6675137172316394,3.6732503207345273,3.670602596196075,0.0013689935836220535,3.6675073355236636,3.673991261446755
